[09-Mar-2024 20:08:11 UTC] wps:2132
[09-Mar-2024 20:14:46 UTC] start ci_import_product(wps, 659)
[09-Mar-2024 20:14:48 UTC] end ci_import_product(wps, 659 -> ignore)
[09-Mar-2024 20:16:25 UTC] start ci_import_product(wps, 660)
[09-Mar-2024 20:16:26 UTC] end ci_import_product(wps, 660 -> ignore)
[09-Mar-2024 20:16:26 UTC] start ci_import_product(wps, 661)
[09-Mar-2024 20:16:28 UTC] end ci_import_product(wps, 661 -> update)
[09-Mar-2024 20:16:28 UTC] start ci_import_product(wps, 662)
[09-Mar-2024 20:16:30 UTC] end ci_import_product(wps, 662 -> update)
[09-Mar-2024 20:16:30 UTC] start ci_import_product(wps, 663)
[09-Mar-2024 20:16:33 UTC] end ci_import_product(wps, 663 -> update)
[09-Mar-2024 20:16:33 UTC] start ci_import_product(wps, 666)
[09-Mar-2024 20:16:35 UTC] end ci_import_product(wps, 666 -> update)
[09-Mar-2024 20:16:35 UTC] start ci_import_product(wps, 667)
[09-Mar-2024 20:16:38 UTC] end ci_import_product(wps, 667 -> update)
[09-Mar-2024 20:16:38 UTC] start ci_import_product(wps, 668)
[09-Mar-2024 20:16:40 UTC] end ci_import_product(wps, 668 -> ignore)
[09-Mar-2024 20:16:40 UTC] start ci_import_product(wps, 669)
[09-Mar-2024 20:16:42 UTC] end ci_import_product(wps, 669 -> update)
[09-Mar-2024 20:16:42 UTC] start ci_import_product(wps, 670)
[09-Mar-2024 20:16:45 UTC] end ci_import_product(wps, 670 -> update)
[09-Mar-2024 20:16:45 UTC] start ci_import_product(wps, 671)
[09-Mar-2024 20:16:47 UTC] end ci_import_product(wps, 671 -> update)
[09-Mar-2024 20:18:33 UTC] start ci_import_product(wps, 673)
[09-Mar-2024 20:18:35 UTC] end ci_import_product(wps, 673 -> update)
[09-Mar-2024 20:18:35 UTC] start ci_import_product(wps, 674)
[09-Mar-2024 20:18:37 UTC] end ci_import_product(wps, 674 -> update)
[09-Mar-2024 20:18:37 UTC] start ci_import_product(wps, 675)
[09-Mar-2024 20:18:40 UTC] end ci_import_product(wps, 675 -> update)
[09-Mar-2024 20:18:40 UTC] start ci_import_product(wps, 676)
[09-Mar-2024 20:18:42 UTC] end ci_import_product(wps, 676 -> update)
[09-Mar-2024 20:18:42 UTC] start ci_import_product(wps, 678)
[09-Mar-2024 20:18:45 UTC] end ci_import_product(wps, 678 -> update)
[09-Mar-2024 20:18:45 UTC] start ci_import_product(wps, 679)
[09-Mar-2024 20:18:47 UTC] end ci_import_product(wps, 679 -> ignore)
[09-Mar-2024 20:18:47 UTC] start ci_import_product(wps, 680)
